title           "Between"
initialRequest  "Locating server..."
createForFriend  "Create a new game for a friend to join."
joinWithFriend   "Join a game that a friend has started."
joinWithStranger  "Join a game with a stranger. "
creatingGame     "Creating a new game..."
waitingForFriend  "Waiting for your friend to enter the following code:"
waitingForStranger  "Waiting for a stranger to join with..."
enterCode  "Ask your friend for a code and enter it here:"
joiningWithFriend  "Joining the game..."
otherSilent        "Other has been silent for #VAR minutes."
quitQuestion       "Really quit?  Press Y or N"
